100 198
10 4 6
5 7 52
10 6 82
6 8 54
7 7 46
2 6 30
2 6 70
4 8 46
6 1 68
6 2 13
5 6 90
3 2 12
2 2 42
5 9 62
1 6 66
3 6 24
2 3 80
10 2 69
4 2 59
10 4 12
9 3 60
6 10 89
10 3 98
1 5 31
10 6 62
5 7 29
8 5 12
9 7 60
2 9 92
3 4 51
5 6 19
2 9 60
8 5 47
1 5 96
3 7 90
10 2 67
1 4 75
2 7 49
2 10 51
5 2 62
1 9 42
8 3 67
3 3 8
2 4 62
1 3 25
4 1 10
5 5 4
8 10 85
1 1 4
7 8 100
8 6 94
5 8 43
2 10 32
1 3 22
3 8 62
1 4 5
2 4 95
7 3 49
2 9 89
3 1 97
10 8 38
8 1 38
4 5 15
5 6 59
7 4 29
2 3 30
6 1 7
3 6 44
6 3 58
1 8 37
10 3 9
10 8 46
8 6 94
2 4 17
2 5 47
10 7 29
5 1 85
10 5 91
6 8 92
6 8 59
8 8 88
9 4 16
4 8 82
3 5 27
1 7 93
2 1 5
3 1 26
10 9 52
7 6 57
2 6 95
2 2 30
6 1 7
6 5 64
9 3 74
3 9 21
4 3 43
3 9 24
9 2 12
3 10 86
1 4 31
